Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
B.M.W.;M4;M4;AUTRES;"M4 Competition M xDrive Cabriolet";ESSENCE;CABRIOLET;2993;LUXE;41;375,000;;1920;0,20;AUTOMATIQUE;8;15,635;15,279;9,922;10,312;8,415;8,789;9,137;9,583;9,940;10,245;;;;;;;355,67;347,60;225,61;234,53;191,29;199,85;207,73;217,92;226,00;233,00;0,177;0,008;0,018;;;1995;1995;Malus;41950;115550
PORSCHE;"MACAN GTS";MACAN;VGF;"MACAN GTS II";ESSENCE;"TS TERRAINS/CHEMINS";2894;SUPERIEURE;33;324,000;;1960;0,17;AUTOMATIQUE;7;15,100;15,800;10,400;11,300;9,700;10,100;11,100;11,700;11,100;11,700;;;;;;;343,00;359,00;236,00;256,00;220,00;230,00;252,00;266,00;251,00;265,00;0,380;0,014;0,015;;;2035;2035;Malus;42350;93699
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive18d";GAZOLE;"TS TERRAINS/CHEMINS";1995;"MOYENNE SUPERIEURE";8;110,000;;1510;0,07;MECANIQUE;6;5,892;6,512;4,665;5,236;4,423;5,049;4,927;5,956;4,847;5,604;;;;;;;154,23;170,44;122,03;136,95;115,69;132,05;128,91;155,84;126,80;146,60;0,192;;0,024;0,085;;1585;1585;Malus;170;43167
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (102ch)";ESSENCE;COMBISPACE;1332;INFERIEURE;5;75,000;;1475;0,05;MECANIQUE;6;8,153;8,575;6,343;7,116;5,803;6,710;7,071;8,709;6,675;7,750;;;;;;;184,63;194,16;143,56;161,04;131,29;151,84;160,07;197,20;151,10;175,44;0,280;0,011;0,012;;;1550;1550;Malus;1504;25900
KIA;CEED;CEED;HYUNDAI;"CEED SW 1.6 essence GDi (105ch) ISG / Electrique (60.5ch) DCT6 SystÃ¨me hybride rechargeable (141ch)";"ELEC+ESSENC HR";BREAK;1580;"MOYENNE INFERIEURE";5;77,200;10,100;1533;0,05;AUTOMATIQUE;6;;;;;;;;;;1,256;;116,000;;50,000;;57,000;;;;;;;;;;28,62;0,053;0,017;0,010;;0,001;1608;1608;"Bonus 1000";;38722
B.M.W.;"SERIE 4";420;AUTRES;"420i Gran Coupe";ESSENCE;BERLINE;1998;"MOYENNE SUPERIEURE";10;135,000;;1620;0,08;AUTOMATIQUE;8;9,556;9,999;6,655;7,346;5,638;6,535;6,193;7,342;6,564;7,448;;;;;;;217,23;227,18;151,18;166,78;128,01;148,32;140,66;166,70;149,10;169,10;0,255;0,022;0,014;;;1695;1695;Malus;983;53833
B.M.W.;"SERIE 5";520;AUTRES;"520d xDrive Touring";"GAZ+ELEC HNR";BREAK;1995;LUXE;10;140,000;;1840;0,08;AUTOMATIQUE;8;6,615;7,355;5,537;6,316;4,657;5,352;5,068;6,214;5,243;6,121;;;;;;;173,15;192,54;144,90;165,31;121,84;140,04;132,62;162,63;137,20;160,20;0,100;;0,019;0,048;;1915;1915;Malus;13066;62188
MINI;MINI;MINI;B.M.W.;"MINI John Cooper Works Hatch 3P (F56)";ESSENCE;BERLINE;1998;INFERIEURE;13;170,000;;1275;0,13;AUTOMATIQUE;8;9,293;9,684;6,409;6,979;5,535;6,106;6,444;7,170;6,536;7,138;;;;;;;211,58;220,48;145,81;158,77;125,87;138,87;146,60;163,13;148,70;162,40;0,227;0,016;0,010;;;1350;1350;Malus;1386;40700
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1290;0,08;MECANIQUE;6;7,631;8,440;5,556;6,526;4,781;5,964;5,532;7,111;5,585;6,815;;;;;;;174,08;191,97;126,64;148,30;108,93;135,49;126,08;161,64;127,30;154,90;0,291;0,024;0,018;;0,001;1365;1365;Malus;190;35210
B.M.W.;"SERIE 4";440;AUTRES;"M440d xDrive Cabriolet";"GAZ+ELEC HNR";CABRIOLET;2993;"MOYENNE SUPERIEURE";22;250,000;;1980;0,13;AUTOMATIQUE;8;10,083;10,614;5,843;6,431;4,990;5,616;5,334;6,241;5,964;6,669;;;;;;;264,09;277,99;152,94;168,37;130,57;147,00;139,59;163,37;156,10;174,60;0,114;;0,033;0,047;0,001;2055;2055;Malus;14485;78250
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive18i";ESSENCE;"TS TERRAINS/CHEMINS";1499;"MOYENNE SUPERIEURE";7;100,000;;1430;0,07;AUTOMATIQUE;7;8,594;9,260;6,196;6,984;5,272;6,241;6,189;7,565;6,228;7,265;;;;;;;195,58;210,61;140,87;158,71;119,79;141,77;140,71;171,96;141,60;165,10;0,312;0,031;0,016;;;1505;1505;Malus;650;42517
FORD;KUGA;KUGA;FORD;"KUGA 2.5 Duratec I-AWD Hybrid (190ch)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";2488;"MOYENNE INFERIEURE";8;112,000;29,000;1626;0,07;"VARIATION CONTINUE";0;8,272;9,089;4,611;5,568;4,506;5,499;5,589;6,535;5,413;6,358;;;;;;;189,73;208,53;105,62;127,61;103,19;126,03;128,09;149,83;124,03;145,77;0,205;0,011;0,010;;;1701;1800;Malus;11906;41512
B.M.W.;M4;M4;AUTRES;"M4 Competition CoupÃ©";ESSENCE;COUPE;2993;LUXE;41;375,000;;1725;0,22;AUTOMATIQUE;8;14,903;15,200;9,763;9,915;8,194;8,412;8,836;9,049;9,635;9,848;;;;;;;338,94;345,85;221,92;225,53;186,20;191,31;200,81;205,80;219,00;224,00;0,206;0,013;0,017;;;1800;1800;Malus;39964;104550
MINI;MINI;COUNTRYMAN;B.M.W.;"MINI One Countryman (F60)";ESSENCE;"TS TERRAINS/CHEMINS";1499;INFERIEURE;5;75,000;;1390;0,05;MECANIQUE;6;8,102;8,406;5,966;6,711;5,235;6,075;6,132;7,135;6,084;6,891;;;;;;;185,14;191,95;136,30;153,18;119,59;138,63;140,10;162,88;139,00;157,30;0,136;0,016;0,008;;;1465;1465;Malus;360;32880
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (149ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";8;110,000;;1962;0,06;MECANIQUE;6;7,667;9,108;6,543;7,479;5,846;6,710;7,497;8,316;6,817;7,756;;;;;;;201,26;239,12;171,74;196,32;153,44;176,13;196,79;218,31;178,92;203,60;0,040;;0,038;0,045;;2037;2037;Malus;12381;41350
KIA;PROCEED;PROCEED;HYUNDAI;"PROCEED GT 1.6 essence T-GDi (204ch) ISG DCT7";ESSENCE;BERLINE;1591;"MOYENNE INFERIEURE";11;150,000;;1363;0,11;AUTOMATIQUE;7;;8,553;;6,691;;5,919;;6,953;;6,794;;;;;;;;193,62;;151,26;;133,70;;157,21;;153,60;0,570;0,028;0,010;;;1438;1438;Malus;1386;37790
PEUGEOT;2008;2008;AUTRES;"2008 (130ch)";GAZOLE;"TS TERRAINS/CHEMINS";1499;INFERIEURE;7;96,000;;1270;0,08;AUTOMATIQUE;8;5,567;5,724;4,569;5,111;4,236;4,820;5,239;5,995;4,837;5,417;;;;;;;146,00;150,11;119,79;134,04;111,06;126,39;137,38;157,23;126,83;142,05;0,050;;0,053;0,058;;1345;1345;Malus;190;33910
FORD;"TRANSIT CUSTOM";"TRANSIT CUSTOM";FORD;"TRANSIT CUSTOM 2.0 EcoBlue (130ch) BVA6";GAZOLE;MINIBUS;1995;"MOYENNE INFERIEURE";7;95,600;;2093;0,05;AUTOMATIQUE;6;9,504;11,088;7,384;8,641;6,672;7,772;8,621;9,561;7,886;9,025;;;;;;;249,37;290,99;193,74;226,75;175,04;203,93;226,20;250,91;206,90;236,84;0,044;0,006;0,020;0,026;0,001;2168;2519;Malus;40337;52346
MINI;MINI;MINI;B.M.W.;"MINI Cooper Hatch 5P (F55)";ESSENCE;BERLINE;1499;INFERIEURE;7;100,000;;1230;0,08;AUTOMATIQUE;7;7,726;8,231;5,369;6,121;4,581;5,517;5,361;6,685;5,437;6,416;;;;;;;175,61;187,03;121,95;138,99;104,02;125,23;121,76;151,83;123,50;145,70;0,200;0,019;0,010;;0,001;1305;1305;Malus;125;33325
FIAT;PANDA;PANDA;STELLANTIS;"PANDA 1.0 BSG (70ch)";"ESS+ELEC HNR";BERLINE;999;INFERIEURE;4;51,500;1,370;999;0,05;MECANIQUE;6;5,548;5,128;4,466;4,780;3,999;4,586;5,018;6,161;4,662;5,256;;;;;;;126,23;116,56;101,53;108,63;90,86;104,18;114,13;140,16;106,00;119,50;0,300;0,028;0,022;;;1074;1074;"Neutre 0";11900;15940
MINI;MINI;MINI;B.M.W.;"MINI John Cooper Works Hatch 3P (F56)";ESSENCE;BERLINE;1998;INFERIEURE;13;170,000;;1275;0,13;AUTOMATIQUE;8;9,293;9,684;6,409;6,979;5,535;6,106;6,444;7,170;6,536;7,138;;;;;;;211,58;220,48;145,81;158,77;125,87;138,87;146,60;163,13;148,70;162,40;0,227;0,016;0,010;;;1350;1350;Malus;1629;40700
FORD;KUGA;KUGA;FORD;"KUGA 2.5 Duratec I-AWD Hybrid (190ch)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";2488;"MOYENNE INFERIEURE";8;112,000;29,000;1626;0,07;"VARIATION CONTINUE";0;8,272;9,089;4,611;5,568;4,506;5,499;5,589;6,535;5,413;6,358;;;;;;;189,73;208,53;105,62;127,61;103,19;126,03;128,09;149,83;124,03;145,77;0,205;0,011;0,010;;;1701;1800;"Neutre 0";11900;41512
PEUGEOT;2008;2008;AUTRES;"2008 (110ch)";GAZOLE;"TS TERRAINS/CHEMINS";1499;INFERIEURE;6;81,000;;1205;0,07;MECANIQUE;6;4,697;5,033;3,991;4,492;3,719;4,317;4,824;5,638;4,297;4,917;;;;;;;123,16;131,97;104,61;117,78;97,47;113,20;126,49;147,86;112,64;128,93;0,058;;0,046;0,052;0,001;1280;1280;"Neutre 0";;28979
B.M.W.;"SERIE 5";540;AUTRES;"540d xDrive Touring";"GAZ+ELEC HNR";BREAK;2993;LUXE;22;250,000;;1925;0,13;AUTOMATIQUE;8;8,515;9,766;5,957;6,570;5,038;5,708;5,414;6,354;5,822;6,653;;;;;;;223,00;255,80;155,94;172,02;131,86;149,43;141,72;166,36;152,40;174,20;0,110;;0,038;0,065;;2000;2000;Malus;13933;77588
KIA;SPORTAGE;SPORTAGE;HYUNDAI;"SPORTAGE 1.6T-GDi (180ch) / Electrique (60ch) BVA6 4x4 SystÃ¨me hybride (230ch)";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";10;132,400;22,300;1830;0,07;AUTOMATIQUE;6;;;;;;;;;;1,121;;169,000;;70,000;;78,000;;;;;;;;;;25,47;0,118;0,010;0,006;;;1905;1905;"Bonus 1000";;48490
LEXUS;RX450H;RX;TOYOTA;"RX 450h";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";3456;LUXE;16;193,000;71,500;2100;0,09;"VARIATION CONTINUE";0;8,021;8,489;6,516;6,866;6,613;7,024;8,860;9,455;7,578;8,049;;;;;;;181,52;192,51;147,43;155,66;149,63;159,25;200,53;214,42;171,48;182,51;0,109;0,013;0,007;;;2175;2175;Malus;15701;79890
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 2.0 TDI (122ch) DSG7";GAZOLE;COMBISPACE;1968;INFERIEURE;6;90,000;;1568;0,06;AUTOMATIQUE;7;6,541;7,104;4,749;5,409;4,182;4,966;4,977;6,111;4,894;5,747;;;;;;;171,53;186,30;124,51;141,83;109,63;130,20;130,48;160,25;128,30;150,70;0,023;;0,038;0,059;;1643;1643;Malus;240;37343
JEEP;RENEGADE;RENEGADE;STELLANTIS;"1.3 Turbo T4 (190ch) BVA6 4xe Limited / S";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1332;INFERIEURE;7;96,000;44,000;1770;0,05;AUTOMATIQUE;6;;;;;;;;;1,856;1,990;157,200;161,700;48,400;47,600;55,800;53,800;;;;;;;;;42,72;46,79;0,423;0,048;0,013;;;1845;1845;"Bonus 1000";;42967
B.M.W.;"SERIE 4";420;AUTRES;"420d Gran Coupe";"GAZ+ELEC HNR";BERLINE;1995;"MOYENNE SUPERIEURE";10;140,000;;1705;0,08;AUTOMATIQUE;8;6,167;6,649;4,631;5,300;4,252;4,905;4,814;5,617;4,784;5,470;;;;;;;161,59;174,22;121,30;138,84;111,35;128,47;126,10;147,15;125,30;143,30;0,112;;0,017;0,045;;1780;1780;Malus;11905;56383
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1320;0,08;AUTOMATIQUE;7;8,092;8,676;5,516;6,400;4,693;5,896;5,435;7,138;5,577;6,809;;;;;;;184,61;197,89;125,72;145,84;106,89;134,31;123,87;162,71;127,10;155,20;0,273;0,023;0,015;;;1395;1395;Malus;240;37510
RENAULT;MEGANE;MEGANE;RENAULT;"MEGANE Estate (158ch)";ESSENCE;BREAK;1332;"MOYENNE INFERIEURE";8;116,000;;1353;0,09;AUTOMATIQUE;7;8,151;8,167;5,746;6,191;4,945;5,323;5,919;6,327;5,880;6,235;;;;;;;184,50;184,84;129,95;140,01;111,77;120,32;133,87;143,08;133,00;141,00;0,243;0,013;0,019;;;1428;1428;Malus;210;36050
RENAULT;"MEGANE E-TECH ELECTRIC";MEGANE;RENAULT;"MEGANE (55Kw)";ELECTRIC;BERLINE;0;ECONOMIQUE;4;;55,000;1636;0,00;"VARIATION ELECTRIQUE";0;;;;;;;;;;;146,100;172,700;486,000;395,000;596,200;495,200;;;;;;;;;;;;;;;;1711;1711;"Bonus 4000";-6000;43632
MINI;MINI;COUNTRYMAN;B.M.W.;"MINI John Cooper Works ALL4 Countryman (F60)";ESSENCE;"TS TERRAINS/CHEMINS";1998;INFERIEURE;19;225,000;;1605;0,14;AUTOMATIQUE;8;10,473;11,046;7,576;8,124;6,498;7,182;7,448;8,250;7,584;8,267;;;;;;;239,15;252,03;172,92;185,22;148,27;163,68;169,99;188,10;173,10;188,50;0,314;0,012;0,012;;;1680;1680;Malus;5715;51800
TOYOTA;YARIS;YARIS;TOYOTA;"Yaris 1.5L (116ch) Hybrid Dynamic Business Pack. Design";"ESS+ELEC HNR";BERLINE;1490;INFERIEURE;5;68,000;37,000;1085;0,06;"VARIATION CONTINUE";0;2,783;3,655;2,887;3,767;3,411;4,392;4,922;6,545;3,757;4,930;;;;;;;62,95;82,72;65,30;85,25;77,20;99,45;111,53;148,35;85,05;111,67;0,149;0,025;0,010;;;1160;1160;"Neutre 0";11900;25263
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (170ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";9;125,000;;2035;0,06;AUTOMATIQUE;6;8,325;9,389;6,661;7,542;5,956;6,832;7,438;8,364;6,941;7,861;;;;;;;218,57;246,52;174,86;198,02;156,35;179,37;195,27;219,61;182,22;206,39;0,016;;0,030;0,038;;2110;2110;Malus;16782;47700
B.M.W.;"SERIE X";X1;AUTRES;"X1 xDrive23i";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1998;"MOYENNE SUPERIEURE";11;150,000;10,500;1655;0,09;AUTOMATIQUE;7;9,319;9,815;6,372;7,228;5,435;6,321;6,222;7,523;6,422;7,398;;;;;;;210,26;221,43;143,65;162,97;122,49;142,47;140,27;169,64;144,80;166,80;0,206;0,016;0,010;;;1730;1730;Malus;11926;46050
RENAULT;CAPTUR;CAPTUR;RENAULT;"CAPTUR (140ch+0Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1332;INFERIEURE;7;103,000;;1245;0,08;MECANIQUE;6;7,002;7,374;5,339;5,720;4,908;5,275;6,114;6,521;5,702;6,087;;;;;;;158,60;167,04;120,86;129,48;111,06;119,40;138,44;147,67;129,10;137,83;0,202;0,012;0,021;;;1320;1320;Malus;11905;28967
PEUGEOT;208;208;AUTRES;"208 (101ch)";ESSENCE;BERLINE;1199;INFERIEURE;5;74,000;;1090;0,07;MECANIQUE;6;6,330;6,800;4,814;5,586;4,148;4,889;4,932;5,930;4,853;5,655;;;;;;;142,39;152,96;108,10;125,50;93,04;109,74;110,76;133,28;108,97;127,06;0,509;0,022;0,014;;;1165;1165;"Neutre 0";;24256
MINI;MINI;MINI;B.M.W.;"MINI Cooper Hatch 5P (F55)";ESSENCE;BERLINE;1499;INFERIEURE;7;100,000;;1200;0,08;MECANIQUE;6;7,636;7,914;5,264;6,111;4,652;5,513;5,357;6,667;5,424;6,364;;;;;;;173,36;179,78;119,36;138,74;105,42;125,12;121,47;151,41;123,00;144,50;0,288;0,018;0,012;;;1275;1275;Malus;170;29757
B.M.W.;"SERIE 1";116;AUTRES;116i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";6;80,000;;1320;0,06;MECANIQUE;6;7,870;8,349;5,676;6,530;4,824;5,905;5,453;6,998;5,626;6,746;;;;;;;179,70;190,56;129,55;148,97;110,05;134,69;124,43;159,66;128,40;153,90;0,179;0,019;0,011;;;1395;1395;Malus;240;33960
B.M.W.;"SERIE X";X4;AUTRES;"X4 M40d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;SUPERIEURE;22;250,000;;2020;0,12;AUTOMATIQUE;8;8,918;10,291;6,453;7,043;5,655;6,456;6,358;7,476;6,501;7,448;;;;;;;233,54;269,53;168,94;184,38;148,01;169,00;166,43;195,73;170,20;195,00;0,122;;0,038;0,052;0,001;2095;2095;Malus;14896;79750
SUZUKI;SX4;SX4;SUZUKI;"SCROSS 1.5 DUALJET HYBRID";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1462;INFERIEURE;5;75,000;10,000;1290;0,06;AUTOMATIQUE;6;4,596;4,925;4,640;4,833;4,674;4,868;6,281;6,513;5,227;5,452;;;;;;;103,96;111,39;104,97;109,32;105,74;110,10;142,26;147,49;118,30;123,38;0,225;0,044;0,013;;;1365;1365;"Neutre 0";11900;36290
B.M.W.;"SERIE 1";116;AUTRES;116i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";6;80,000;;1320;0,06;MECANIQUE;6;7,870;8,349;5,676;6,530;4,824;5,905;5,453;6,998;5,626;6,746;;;;;;;179,70;190,56;129,55;148,97;110,05;134,69;124,43;159,66;128,40;153,90;0,179;0,019;0,011;;;1395;1395;Malus;260;33960
MINI;MINI;MINI;B.M.W.;"MINI Cooper S Hatch 3P (F56)";ESSENCE;BERLINE;1998;INFERIEURE;9;131,000;;1225;0,11;AUTOMATIQUE;7;8,409;8,864;5,750;6,411;4,862;5,652;5,673;6,829;5,803;6,652;;;;;;;191,22;201,47;130,70;145,62;110,47;128,33;128,95;155,13;131,90;151,10;0,188;0,016;0,009;;0,001;1300;1300;Malus;330;36800
